Section,h[mm],b[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Iz[cm4],Ip[cm4],iy[mm],iz[mm],ip[mm],max Sy[cm3],max Sz[cm3],Wy[cm3],Wz[cm3],Ay[cm2],Az[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,z[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","αpl,z","Apl,y[cm2]","Apl,z[cm2]",Npl[kN],"Vpl,y[kN]","Vpl,z[kN]","Mpl,y[kNm]","Mpl,z[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
RHS 500x200x8.8,500,200,8.8,13.2,8.8,464.8,119,37200,8850,46050,177,86.1,196.8,466.82,244.76,1490,885,20.37,80.94,23000,30.66,22969.34,4020.22,1555.55,103.3,429721.07,30.5,4159.89,881.74,1867.26,979.03,950.57,176,1.253,1.106,33.65,86.45,2802.765,456.57,1172.947,438.81,230.07,2802.765,93.4,1.38,11900,115.966,938.51
RHS 500x200x10.0,500,200,10,15,10,460,135,41800,9890,51690,176,85.6,195.7,526.15,275.2,1670,989,23,91.8,25900,44.76,25855.24,4551.9,1738.05,102.72,481751.73,30.5,4689.8,992.44,2104.61,1100.8,1058,200,1.26,1.113,38,98,3170.636,515.574,1329.638,494.58,258.69,3170.636,106,1.37,13500,101.481,930.14
RHS 500x200x11.0,500,200,11,16.5,11,456,148,45500,10700,56200,175,85.2,194.6,574.82,300.04,1820,1070,25.03,100.61,28200,59.32,28140.68,4991.32,1885.09,102.23,523885.25,30.5,5124.48,1082.93,2299.28,1200.16,1143.65,220,1.263,1.122,41.58,107.58,3474.57,564.146,1459.617,540.33,282.04,3474.57,116.2,1.37,14800,92.568,923.17
RHS 500x200x12.5,500,200,12.5,18.8,12.5,450,167,51000,11900,62900,175,84.5,194.3,646.49,336.41,2040,1190,28.19,114.16,31500,86.49,31413.51,5643.87,2097.28,101.48,584984.92,30.5,5764.63,1215.64,2585.96,1345.63,1265.62,250,1.268,1.131,46.87,121.87,3925.994,635.987,1653.567,607.7,316.22,3925.994,131.1,1.37,16700,82.036,912.72
RHS 500x200x14.2,500,200,14.2,21.3,14.2,443.2,189,56900,13200,70100,174,83.8,193.1,725.8,376.33,2280,1320,31.75,128.86,35200,125.87,35074.13,6373.18,2325.95,100.6,651164.88,30.5,6472.79,1361.66,2903.19,1505.33,1394.63,284,1.273,1.14,52.77,137.97,4431.115,715.931,1871.902,682.25,353.75,4431.115,148.4,1.36,18900,71.958,900.89
RHS 500x200x16.0,500,200,16,24,16,436,211,63000,14500,77500,173,83,191.9,807.57,416.67,2520,1450,35.45,144.71,38900,178.65,38721.35,7132.83,2554.83,99.64,717661.49,30.4,7202.32,1510.38,3230.26,1668.51,1520.77,320,1.282,1.151,58.88,154.88,4958.428,798.868,2101.37,759.11,392.1,4958.428,165.6,1.36,21100,64.455,888.36
RHS 500x300x8.0,500,300,8,12,8,468,125,43700,20000,63700,187,126,225.5,525.09,370.01,1750,1330,33.94,71.67,42600,26.53,42573.47,2389.55,2203.77,92.59,353660.52,23.6,3819.65,771.29,2100.35,1480.06,876.1,360,1.2,1.113,46.72,78.72,2931.607,633.884,1068.052,493.58,347.81,2931.607,98.1,1.58,12500,126.4,1436.09
RHS 500x300x8.8,500,300,8.8,13.2,8.8,464.8,137,47800,21800,69600,187,126,225.5,574.88,404.84,1910,1450,37.16,78.89,46600,35.2,46564.8,2627.17,2403.56,92.44,386662.69,23.6,4182.73,843.92,2299.52,1619.37,950.57,396,1.204,1.117,51.25,86.45,3216.365,695.363,1172.947,540.39,380.55,3216.365,107.5,1.58,13700,115.328,1429.71
RHS 500x300x10.0,500,300,10,15,10,460,155,53800,24400,78200,186,126,224.7,648.65,456.35,2150,1630,41.82,89.54,52400,51.43,52348.57,2983.05,2696.59,92.21,435350.24,23.6,4721.2,951.33,2594.61,1825.41,1058,450,1.207,1.12,58,98,3640.636,786.928,1329.638,609.73,428.97,3640.636,121.7,1.57,15500,101.29,1420.14
RHS 500x300x11.0,500,300,11,16.5,11,456,170,58600,26600,85200,186,125,224.1,709.29,498.61,2350,1770,45.98,98.04,57300,68.2,57231.8,3279.05,2934.78,92.01,475171.88,23.6,5164.36,1039.45,2837.18,1994.44,1143.65,495,1.207,1.127,63.58,107.58,3991.57,862.636,1459.617,666.74,468.69,3991.57,133.4,1.57,17000,92.353,1412.17
RHS 500x300x12.5,500,300,12.5,18.8,12.5,450,192,65800,29800,95600,185,125,223.3,798.83,560.86,2630,1980,52.12,111.28,64400,99.51,64300.49,3722,3282.04,91.69,533615.54,23.6,5819.73,1169.26,3195.33,2243.45,1265.62,562.5,1.215,1.133,71.88,121.87,4513.494,975.181,1653.567,750.9,527.21,4513.494,150.7,1.57,19200,81.771,1400.22
RHS 500x300x14.2,500,300,14.2,21.3,14.2,443.2,217,73700,33200,106900,184,124,221.9,898.26,629.78,2950,2220,58.67,126.11,72200,144.96,72055.04,4222.26,3661.37,91.31,597967.56,23.7,6549.06,1312.94,3593.03,2519.12,1394.63,639,1.218,1.135,81.17,137.97,5098.515,1101.255,1871.902,844.36,591.99,5098.515,170.3,1.56,21700,71.889,1386.69
RHS 500x300x16.0,500,300,16,24,16,436,243,81800,36800,118600,183,123,220.5,1001.17,700.87,3270,2450,66.04,141.73,80300,205.96,80094.04,4749.64,4046.96,90.87,663901.6,23.7,7305.96,1461.11,4004.66,2803.49,1520.77,720,1.225,1.144,90.88,154.88,5710.428,1233.035,2101.37,941.1,658.82,5710.428,190.8,1.56,24300,64.198,1372.36
